pbar,Polity_habitat_j,SUB2_Aj,A_j,Cj,LAT,LONG,LAT,LONG,SUB,PROTEIN,PLTYSIZE,AREA,MinTemp,CRR,MAT,Elevation
16.5,AUYANA,HORT,2,2074.19885775194,-6.527,145.761,-6.527,145.761,HL,LIVESTOCK,177,10.7272727272727,11.5,2101,17.8291664123535,1792
17.1,KAMANO(KAFE),HORT,2,2156.02103807997,-6.243,145.678,-6.243,145.678,HL,LIVESTOCK,207,12.1052631578947,12.6999998092651,1910,19.3541660308838,1552
17.7,ABELAM(EAST),HORT,2,2132.72894135294,-3.706,143.179,-3.706,143.179,HL,LIVESTOCK,247,13.954802259887,20.7999992370605,1869,26.4791660308838,151
17.7,KWANGA(BONGOS),HORT,2,2264.40509407115,-3.743,142.665,-3.743,142.665,H-HL,LIVESTOCK,475.8,26.8813559322034,21.1000003814697,2117,26.125,174
17.8,ENGA(YUMBISA),AGG,3,1692.27396918048,-5.623,143.314,-5.623,143.314,AL,LIVESTOCK,449,25.2247191011236,6.90000009536743,2751,13.216667175293,2654
17.9,KEWA(WEST),AGG,3,2130.33151681448,-6.334,143.728,-6.334,143.728,AL,LIVESTOCK,33.8,1.88826815642458,12.1999998092651,3171,18.5791664123535,1581
18.2,KEWA(SOUTH),HORT,2,2178.79232992515,-6.68,144.009,-6.68,144.009,H-HL,LIVESTOCK,142.7,7.84065934065934,12.6000003814697,3422,19.25,1389
18.3,GIMI,AGG,3,1974.03761327565,-6.497,145.214,-6.497,145.214,AL,LIVESTOCK,118,6.44808743169399,10.1999998092651,2404,16.5499992370605,2041
18.3,MARING(BOMAGAI),HORT,2,2365.74011295157,-5.441,144.77,-5.441,144.77,HL,LIVESTOCK,154,8.41530054644809,16.2999992370605,3597,22.1124992370605,854
18.4,KAMANO(SOUTH),HORT,2,2021.68174154849,-6.37,145.738,-6.37,145.738,HL,LIVESTOCK,218,11.8478260869565,10.6999998092651,2115,17.1499996185303,1894
18.5,URAT,HORT,2,2153.77645046426,-3.596,142.794,-3.596,142.794,HL,LIVESTOCK,245,13.2432432432432,20.5,1906,25.529167175293,255
18.9,BENA BENA,AGG,3,2173.45854810195,-6.093,145.532,-6.093,145.532,AL,LIVESTOCK,175,9.25925925925926,12.6999998092651,1960,19.1749992370605,1619
19.5,GAINJ,HORT,2,2365.98812875236,-5.274,144.762,-5.274,144.762,H-HL,LIVESTOCK,82.1,4.21025641025641,16.3999996185303,3563,22.1166667938232,834
19.9,FORE (SOUTH),HORT,2,2084.63959732317,-6.656,145.544,-6.656,145.544,HH,HUNTING,152,7.63819095477387,11.5,2210,17.966667175293,1828
21,SIANE,HORT,2,1878.71485525317,-6.1,145.246,-6.1,145.246,HL,LIVESTOCK,204,9.71428571428571,9.10000038146973,2158,15.3874998092651,2258
22.3,MARING(KAUW),HORT,2,2107.80955882861,-5.465,144.636,-5.465,144.636,HL,LIVESTOCK,460,20.627802690583,12.3999996185303,2583,18.2749996185303,1674
23,IMBONGGU,AGG,3,1892.95281876295,-6.136,144.029,-6.136,144.029,AL,LIVESTOCK,124,5.39130434782609,9,2939,15.5583333969116,2174
23.2,KAUGEL,AGG,3,1902.28788745571,-5.964,144.029,-5.964,144.029,AL,LIVESTOCK,319,13.75,9,2606,15.6708335876465,2185
24,ARAPESH(BUMB),HORT,2,2148.13882990846,-3.644,142.876,-3.644,142.876,SH-H,HUNTING,165.3,6.8875,20.7000007629395,1896,25.9916667938232,193
25.8,WAROPEN,SAGO-FISH,1.5,2602.3722530513,-2.256,136.526,-2.256,136.526,SF,FISHING,700,27.1317829457364,22.7000007629395,3506,26.8374996185303,20
25.8,WOLA,HORT,2,1954.19801672819,-6.14,143.364,-6.14,143.364,HL,LIVESTOCK,133.9,5.18992248062016,10.3000001907349,2801,16.3041667938232,2066
26.1,DANI(BOKONDINI),AGG,3,2159.73089094015,-3.671,138.647,-3.671,138.647,AL,LIVESTOCK,200,7.66283524904215,13.3000001907349,2543,18.9833335876465,1500
26.9,AU,HORT,2,2417.71992083682,-3.529,142.109,-3.529,142.109,SH-H,HUNTING,202,7.5092936802974,20.7000007629395,2469,25.0541667938232,314
28.4,ENGA(RAIAPU SAKA,AGG,3,2124.50210314428,-5.57,144.101,-5.57,144.101,AL,LIVESTOCK,350,12.3239436619718,12.5,2624,18.5,1673
28.6,GAHUKU GAMA,HORT,2,2195.54020321176,-6.044,145.383,-6.044,145.383,HL,LIVESTOCK,,,13,1984,19.4874992370605,1631
29.4,FORE (NORTH),HORT,2,2063.69266390402,-6.512,145.596,-6.512,145.596,HL,LIVESTOCK,256,8.70748299319728,11.1999998092651,2212,17.6916675567627,1883
29.6,WAHGI (NORTH,AGG,3,2035.68575722183,-5.722,144.799,-5.722,144.799,AL,LIVESTOCK,151,5.10135135135135,11.6000003814697,2581,17.3291664123535,1830
29.7,WAM,HORT,2,2143.60170343381,-3.53,142.877,-3.53,142.877,HH,HUNTING,254,8.55218855218855,20,1888,25.1458339691162,350
29.8,NGALUM,HORT,2,2147.07588492249,-4.862,140.604,-4.862,140.604,HL,LIVESTOCK,85,2.85234899328859,13.6999998092651,4694,18.8083324432373,1584
30.3,GENDE,HORT,2,2259.22445290212,-5.686,145.174,-5.686,145.174,H-HL,LIVESTOCK,447,14.7524752475248,14.6999998092651,2874,20.4208335876465,1234
30.8,KEWA(EAST),AGG,3,2033.0883844245,-6.343,143.934,-6.343,143.934,AL,LIVESTOCK,162,5.25974025974026,10.8999996185303,3398,17.2958335876465,1911
32.1,WIRU,HORT,2,2185.87053754523,-6.351,144.216,-6.351,144.216,H-HL,LIVESTOCK,416.7,12.981308411215,12.6000003814697,3198,19.3500003814697,1390
32.7,ANGANEN,AGG,3,1985.7210633871,-6.241,143.583,-6.241,143.583,AL,LIVESTOCK,,,10.3000001907349,2946,16.6958332061768,2014
33.2,GADSUP(AKUNA),HORT,2,2155.82615723097,-6.357,145.946,-6.357,145.946,HL,LIVESTOCK,269,8.10240963855422,12.3999996185303,2093,18.9291667938232,1591
33.6,WAHGI (SOUTH,AGG,3,2054.72738461111,-5.99,144.753,-5.99,144.753,AL,LIVESTOCK,450,13.3928571428571,11.3000001907349,2482,17.5750007629395,1888
34.4,MARING(TSEM),HORT,2,2228.09556670314,-5.377,144.644,-5.377,144.644,HL,LIVESTOCK,280,8.13953488372093,14.1000003814697,3198,19.9583339691162,1353
34.7,OKSAPMIN,HORT,2,2049.26149998376,-5.233,142.115,-5.233,142.115,HL,LIVESTOCK,175,5.04322766570605,12,3824,17.5041656494141,1769
36.1,USARUFA,HORT,2,1980.05438213648,-6.397,145.631,-6.397,145.631,HL,LIVESTOCK,197,5.45706371191136,10.1999998092651,2181,16.625,1986
38.2,DANI (DUGUM),AGG,3,2239.0683272833,-4.096,138.946,-4.096,138.946,AL,LIVESTOCK,340,8.90052356020942,14.1000003814697,2066,20.3583335876465,1661
38.6,NIMBORAN,HORT,2,2352.02276299909,-2.593,140.187,-2.593,140.187,SH-H,HUNTING,,,22.2999992370605,2308,27.1000003814697,61
40.9,GURURUMBA,AGG,3,2130.33151681448,-5.965,145.267,-5.965,145.267,AL,LIVESTOCK,238,5.81907090464548,12.1000003814697,2155,18.5791664123535,1694
41,KAPAUKU,AGG,3,2174.6457922816,-4.054,136.083,-4.054,136.083,AL,LIVESTOCK,176,4.29268292682927,13.3999996185303,3327,19.1916675567627,1587
41.9,MENDI(SOUTH),AGG,3,1944.04196543564,-6.05,143.662,-6.05,143.662,AL,LIVESTOCK,321,7.66109785202864,9.5,2709,16.1791667938232,2200
43.4,ARAPESH(KAB),HORT,2,2117.62638362061,-3.646,143.194,-3.646,143.194,HL,LIVESTOCK,191.2,4.40552995391705,20.1000003814697,1843,25.591667175293,285
43.8,ENGA(RAIAPU LAI),AGG,3,2259.22445290212,-5.556,144.155,-5.556,144.155,AL,LIVESTOCK,225,5.13698630136986,14.3000001907349,3432,20.4208335876465,1228
44.2,ARAPESH(ILAH,HORT,2,2144.73824554066,-3.682,142.939,-3.682,142.939,HL,LIVESTOCK,503,11.3800904977376,20.7999992370605,1890,26.2708339691162,140
48.8,KALAM,HORT,2,1953.18439012992,-5.265,144.584,-5.265,144.584,HL,LIVESTOCK,44,0.901639344262295,10.3999996185303,2466,16.2916660308838,2175
49.1,DANI (WEST),HORT,2,1511.86225837974,-3.776,138.222,-3.776,138.222,HL,LIVESTOCK,155,3.15682281059063,5.59999990463257,3155,11.1833333969116,3109
55.2,YAGARIA,HORT,2,2081.79866015843,-6.331,145.384,-6.331,145.384,HL,LIVESTOCK,244,4.42028985507246,11.5,2178,17.9291667938232,1860
55.9,MELPA (NORTH,AGG,3,2010.86377866042,-5.616,144.298,-5.616,144.298,AL,LIVESTOCK,151,2.70125223613596,11,2479,17.0125007629395,1934
56.6,YATE,HORT,2,2120.50032748917,-6.317,145.543,-6.317,145.543,HL,LIVESTOCK,234.4,4.14134275618375,11.8999996185303,2121,18.4458332061768,1724
58.5,HULI (TOANDA,AGG,3,2085.58538383503,-5.935,142.96,-5.935,142.96,AL,LIVESTOCK,500,8.54700854700855,12.1000003814697,2960,17.9791660308838,1817
59.5,MELPA (CENTR,AGG,3,2135.22271852971,-5.858,144.236,-5.858,144.236,AL,LIVESTOCK,264,4.43697478991597,12.1999998092651,2568,18.6458339691162,1718
61.3,CHIMBU (UPPE,AGG,3,2018.08247895624,-5.9,145.052,-5.9,145.052,AL,LIVESTOCK,459,7.48776508972268,10.6000003814697,2212,17.1041660308838,1995
61.5,ABELAM(CENT),HORT,2,2114.69203489064,-3.632,143.055,-3.632,143.055,HL,LIVESTOCK,326,5.30081300813008,20.5,1838,26.0041675567627,201
64.6,ABELAM(NWOS),AGG,3,2170.46643939373,-3.754,142.993,-3.754,142.993,AL,LIVESTOCK,246,3.80804953560372,21,1936,26.6000003814697,107
70.1,ENGA (KYAKA),AGG,3,2257.84051662193,-5.521,144.119,-5.521,144.119,AL,LIVESTOCK,330,4.70756062767475,14.3000001907349,3284,20.3999996185303,1298
71.4,CHUAVE,AGG,3,2003.28800642529,-6.165,145.139,-6.165,145.139,AL,LIVESTOCK,211,2.95518207282913,10.6000003814697,2238,16.9166660308838,2055
73.3,BOIKEN(NYANG,HORT,2,2107.01697864963,-3.656,143.296,-3.656,143.296,HL,LIVESTOCK,163,2.2237380627558,20.2999992370605,1825,25.841667175293,231
78.1,MENDI(MAP),AGG,3,2041.19302485705,-6.093,143.629,-6.093,143.629,AL,LIVESTOCK,302.5,3.87323943661972,10.8000001907349,2874,17.3999996185303,1808
81.2,CHIMBU (CENT,AGG,3,1704.69623394731,-5.922,144.976,-5.922,144.976,AL,LIVESTOCK,415,5.11083743842365,7.09999990463257,2316,13.3583335876465,2576
104,SINASINA,AGG,3,2100.95649051722,-6.071,145.032,-6.071,145.032,AL,LIVESTOCK,405.3,3.89711538461538,11.6999998092651,2367,18.1833324432373,1767
111.7,ENGA (MAE),AGG,3,1871.39375912487,-5.456,143.691,-5.456,143.691,AL,LIVESTOCK,350,3.13339301700985,9,2663,15.3000001907349,2247
